"id","text","date","truthRating","ratingName","author","headline","named_entities_claim","named_entities_article","keywords","source","sourceURL","link","language"
"http://data.gesis.org/claimskg/claim_review/4c0bb64c-4e2e-562d-be90-c1ae54adbfde","Says Hillary Clinton negotiated the first agreement — ever — where China and India officially committed to reduce their emissions.",2016-07-26,2,"MIXTURE","Unknown","Fact-checking Bill Clinton on Hillary's big climate change accomplishment","1997,2007,2008,2009,2010,2014,2015,Bill Clinton,Brazilian President,China,Chinese Prime Minister,Ciplet,Copenhagen,Copenhagen Accord,Democratic National Convention,Environmental Inequality,Hard Choices,Hillary Clinton,India,Indian Prime Minister,Jaws,Kyoto Protocol,Luiz Inacio Lula da Silva,Manmohan Singh,Obama,Paris Agreement,PolitiFact,President Bill Clinton,President Jacob Zuma,President Obama,Todd Stern,United States,University of Colorado Boulder,campaign website,carbon emissions,carbon emitter,climate action,climate change,developed countries,developing countries,emissions reduction,energy consumption,environmental activists,foreign policy,international agreement,mitigating climate change,prying eyes,reduce CO2,reducing carbon emissions,world leaders","Hillary Clinton,India","http://data.gesis.org/claimskg/keyword/71ade470-d121-58a2-9616-8a9d313cb148","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2016/jul/29/bill-clinton/fact-checking-bill-clinton-hillarys-big-climate-ch/","English"
"http://data.gesis.org/claimskg/claim_review/aaff6223-27c1-55da-a8f1-933a00650caf","A video shows Koko the gorilla spontaneously using sign language to issue a warning about climate change.","Unknown",1,"FALSE","Unknown","What Does Koko the Gorilla Know About Climate Change?","American Sign Language,Barbara King,COP21,COP21 Climate Conference,Climate Change,College of William and Mary,Gorilla Foundation,Koko,Koko the gorilla,NOE,NPR,Native American,PSA,Paris,Public Service Announcement,Sign Language,Slate,United Nations,University of New Mexico,anthropomorphization,biodiversity,biological anthropologist,climate change,cognition,environmentalism,global warming,human evolution,human language,linguistics,non-profit,primate,primate behavior","Koko,climate change,sign language","http://data.gesis.org/claimskg/keyword/af358e17-37b3-5b9c-96af-4428405d9426","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/what-does-koko-know-about-climate-change-nothing/","English"
"http://data.gesis.org/claimskg/claim_review/7e5e6bf8-8680-5697-800c-e59357a8ac60","Nancy Mace denies climate change.",2020-10-16,2,"MIXTURE","Unknown","SC House candidate Nancy Mace hedges, but doesn’t outright confirm climate change","Charleston,Charleston City,Climate change,Cook Political Report,Democratic,Earth,Earth was flat,Joe Cunningham,NASA,Nancy Mace,PolitiFact,Post and Courier,Republican,Sept. 11,South Carolina,U.S.,United States,Washington Examiner,climate change,climate denier,denies climate change,downtown Charleston,election campaign,extreme weather,global temperature,greenhouse emissions,rising sea levels,sea level,sea levels are rising","Nancy Mace,denies climate change","http://data.gesis.org/claimskg/keyword/5718804f-3406-59df-a9ce-825a2bdde0c9","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2020/oct/19/joe-cunningham/sc-house-candidate-nancy-mace-hedges-doesnt-outrig/","English"
"http://data.gesis.org/claimskg/claim_review/5e65f826-3fbb-5956-8f97-bacc933f5391","Swedish scientist Magnus Söderlund suggested cannibalism could fight climate change.","Unknown",1,"FALSE","Unknown","Did a Swedish Scientist Propose Cannibalism to Fight Climate...","Antti Heikkilä,Breitbart News,Breitbart.com,Cannibalism,Climate Change,Climate change,Consumer Marketing,Disinformation,Donald Trump,Earth,Epoch Times,Evening Standard,Fact Checks,Fight Climate Change,Florida,Fox News,JavaScript,NASA,PhD,Stockholm,Stockholm School of Economics,Sweden,Swedish,TV4,U.S. President Donald Trump,United States President,anthropogenic climate change,associate professor,behavioral scientist,behavioural scientist,breitbart,burning of fossil fuels,cannibalism,cannibalistic,carbon emissions,climate change,climate change prevention,climate science,combat climate change,combatting climate change,consumer behavior,customer satisfaction,disinformation,donald trump,effects of climate change,epoch times,fact check,famine,fight climate change,food shortages,food sources,fossil fuels,greenhouse emissions,greenhouse gases,issue of climate change,mass transportation,misinformation,mitigate the effects,mitigating climate change,natural gas,news media,renewable energy,sensationalism,t.co,trump administration","Swedish,cannibalism,fight climate change","http://data.gesis.org/claimskg/keyword/1826c2f2-c831-5535-bf21-c0eea7ad73b8","truthorfiction","https://www.truthorfiction.com","https://www.truthorfiction.com/did-a-swedish-scientist-propose-cannibalism-to-fight-climate-change/","English"
"http://data.gesis.org/claimskg/claim_review/80e68f6e-1853-5047-880d-4acddd0e2bba","The Obama administration’s own Environmental Protection Agency has said its Clean Power Plan will have a marginal impact on climate change.",2015-09-16,2,"MIXTURE","Unknown","Even the EPA says Obama carbon plan will only marginally affect climate change, Scott Walker says","Adele Morris,Brookings Institution’s,California,Cato Institute,China,Clean Power Plan,Climate change,EPA,EPA Administrator,EPA’s,Environmental Protection Agency,Gina McCarthy,Gov. Scott Walker,House Committee on Science,India,Jake Tapper,Jim Sensenbrenner,June 2015,Lamar Smith,Milwaukee Journal Sentinel,Obama,President Barack Obama,Republican presidential debate,Resources for the Future,Rubio,Sen. Marco Rubio,Texas Republican,The New York Times,U.S.,U.S. Environmental Protection Agency,U.S. Rep,United Nations,United States,United States and China,Wisconsin,addressing climate change,carbon emission,carbon emissions,climate action,climate change,climate policy,congressional hearing,energy policy,fossil fuel emissions,global climate,global climate change,global temperature,global warming,greenhouse gas,greenhouse gas emissions,impact on climate change,individual states,natural gas,nuclear energy,provide power,reduce emissions,reducing carbon emissions,smog,soot,vehicle fuel efficiency","Clean Power Plan,Environmental Protection Agency,Obama,impact on climate change","http://data.gesis.org/claimskg/keyword/01b97136-3a92-50bf-9aac-ab9eab792743","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2015/sep/21/scott-walker/even-epa-says-obamas-power-plan-will-have-only-mar/","English"
"http://data.gesis.org/claimskg/claim_review/b19a27a8-cf14-572d-b8fd-f4d0c1826643","Several media outlets reported Wednesday that an enormous iceberg the size of Delaware had broken off an ice shelf in Antarctica. Politicians , journalists and others quickly associated the news with climate change.","Unknown",-1,"OTHER","Unknown","Massive Iceberg Raises Alarm Over ‘Apocalyptic Climate Change’","Adrian Luckman,Antarctic,Antarctic Peninsula,Antarctica,Climate Action,Daily Caller,David Sirota,Delaware,Democratic,Ed Markey,Eric Rignot,Fact Check,Helen Fricker,Icebergs,Larsen B,Larsen C,Larsen C Ice Shelf,Larsen ice shelf,NASA,NASA Goddard Space Flight Center,Political commentator,Scripps Institution of Oceanography,Sen.,Swansea University,Twitter,United Nations,University of California-Irvine,calving of icebergs,circumstantial evidence,climate change,climate scientists,glaciologist,glaciology,hashtag,human-induced climate change,ice shelf,ice shelves,iceberg,melt pond,melt ponds,sea-level rise","Antarctica,Delaware,climate change,ice shelf,iceberg","http://data.gesis.org/claimskg/keyword/1b116c63-d34d-5596-8c79-e453ab1ae7a6","checkyourfact","http://checkyourfact.com","https://checkyourfact.com/2017/07/14/fact-check-massive-iceberg-raises-alarm-over-apocalyptic-climate-change/","English"
"http://data.gesis.org/claimskg/claim_review/bca88618-333d-57af-9931-e7f56cb5401f","In Sept. 2016, Ted Cruz tweeted, I’ll believe in climate change when Texas freezes over.","Unknown",1,"FALSE","Unknown","Did Ted Cruz Tweet ‘I’ll Believe in Climate Change When Texas Freezes Over'?","Cancún,Mexico,ProPublica,Sen.,Ted Cruz,Texas,Twitter,climate change,meme,one-line jokes,power crisis in Texas,resort town,screenshot,severe winter storms,tap water","Ted Cruz,Texas,climate change","http://data.gesis.org/claimskg/keyword/637ea994-8787-5d38-9793-b759691a68c9","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/ted-cruz-texas-freezes-over/","English"
"http://data.gesis.org/claimskg/claim_review/16ed3374-d711-5f7c-b030-0a099d55f7d1","Global warming is a fraud.",2023-01-25,1,"FALSE","Unknown","Copious evidence proves climate change is not a ‘fraud’","2020,97%,Climate change,Earth,Earth’s atmosphere,Facebook,Global warming,Industrial Revolution,Jan. 25,Joseph Fourier,NASA,National Oceanic Atmospheric Administration,News Feed,Nick Adams,PolitiFact,U.S. Environmental Protection Agency,United States,atmospheric gases,average temperature,burning fossil fuels,burning of fossil fuels,carbon dioxide,carbon dioxide and methane,climate change,climate scientists,combat climate change,cryosphere,degrees Fahrenheit,extra energy,false news,greenhouse effect,greenhouse gas emissions,greenhouse gases,hoax,human activities,ice age,scientific consensus,social media,solar panels,temperature measurements","Global warming","http://data.gesis.org/claimskg/keyword/031df935-6936-5d1e-8bbf-baf66df0f7e9","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/plentiful-evidence-proves-climate-change-is-not-a/","English"
"http://data.gesis.org/claimskg/claim_review/94696b62-7178-5a4e-8916-9c15994e73af","The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the head of the United Nations Intergovernmental Panel on Climate Change. That number was pulled out of thin air.",2015-08-28,1,"FALSE","Unknown","Santorum: UN climate head debunked widely cited 97% climate change consensus figure","2010 study,97 percent,CO2,GOP,Global Warming Policy Foundation,HBO,House Committee on Science,IPCC,Intergovernmental Panel on Climate Change,Ismail El Gizouli,Louisiana State University,Pachauri,Peter Doran,PolitiFact,Rajendra Pachauri,Real Time with Bill Maher,Richard Tol,Rick Santorum,Santorum,Stephan Lewandowsky,Tol,UN,United Nations,University of Bristol,University of Queensland,University of Sussex,caused by humans,climate change,climate change denial,climate communication,climate scientist,climate scientists,earth science,earth scientists,fact-check,human-made,lead author,man-made climate change,peer-reviewed,rejection of climate science,science agrees,scientific community,scientific consensus,scientific consensus on climate change,sic","97 percent,Intergovernmental Panel on Climate Change,United Nations,climate change","http://data.gesis.org/claimskg/keyword/01b97136-3a92-50bf-9aac-ab9eab792743","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2015/sep/02/rick-santorum/santorum-un-climate-head-debunked-widely-cited-97-/","English"
"http://data.gesis.org/claimskg/claim_review/eab4c0ea-1a79-5251-a03c-827991018cae","Says Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.",2016-09-28,2,"MIXTURE","ClearPath Action Fund","Super PAC yanks ad about Portman's climate change views","Bob Corker,Chris Smith,Clean Power Plan,ClearPath,Climate change,Conservatives,Democrat,Democratic,Hawaii,Hoeven,John Hoeven,Kelly Ayotte,Keystone XL Pipeline,League of Conservation Voters,Lindsey Graham,Maine,Mark Kirk,Michael Grimm,Ohio,PAC,PolitiFact,Portman,Rep.,Republican,Republican senator,Republicans,Rob Portman,Rodney Frelinghuysen,Sen.,Sen. Brian Schatz,Sen. John Thune,Sen. Lamar Alexander,Sen. Rob Portman,Sense of the Senate,Sheldon Whitehouse,Susan Collins,U.S.,Union of Concerned Scientists,United States,addressing climate change,adverb,air pollution,bipartisan,carbon pollution,caused by human activity,clean energy,clean-energy,climate change,combat climate change,communications director,environmental groups,global warming,human activity contributes to climate change,party lines,policy debate,s-word,sense of the Senate","Rob Portman,bipartisan,climate change","http://data.gesis.org/claimskg/keyword/5a944f43-848f-5a04-aee8-035158544c91","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2016/oct/10/clearpath-action-fund/response-politifact-ohio-super-pac-takes-down-its-/","English"
"http://data.gesis.org/claimskg/claim_review/c7e20c92-a7e4-5b86-9c18-835e7f00ee09","Says President Barack Obama’s homeland security budget had $16 million to fight climate change but didn't have a line item to fight violent extremism.",2015-12-09,2,"MIXTURE","Unknown","Barack Obama gives Homeland Security millions for climate change, no 'line item' to fight extremism?","Climate change,Countering Violent Extremism,DHS,Department of Homeland Security,FEMA,Federal Emergency Management Agency,Fox Business Network,Homeland Security,House Homeland Security Committee,Internet,Internet in the United States,Islamist terrorists,Justice Department,McCaul,Michael McCaul,Obama,PolitiFact,President Barack Obama,San Bernardino,Sean Duffy,Stuart Varney,Texas Republican,U.S.,U.S. Rep.,Varney & Co.,Wisconsin Republican,climate change,climate change impacts,countering violent extremism,fact check,fight climate change,fiscal 2016,homeland security,local agencies,public health,radicalization,state and local,violent extremism,violent extremist,violent extremists","President Barack Obama,fight climate change,line item,violent extremism","http://data.gesis.org/claimskg/keyword/bf7e669a-8824-50b5-b7db-6e5d77ba2d2d","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2015/dec/18/sean-duffy/barack-obama-gives-homeland-security-millions-clim/","English"
"http://data.gesis.org/claimskg/claim_review/8bce1d2b-5112-518f-b235-57f52e091890","...the earth moves closer to the sun every year – you know the rotation of the earth. We’re moving closer to the sun.",2017-03-28,1,"FALSE","Unknown","PA GOPer’s climate change theory debunked: Nope, not getting closer to the sun","Astronomy and Astrophysics,Dave Goldberg,Drexel University,Earth,Earth moving,Earth rotates,Harrisburg,NPR,Pennsylvania,Pennsylvania Democratic party,PolitiFact,Politifact,Republican,Scott Wagner,Sen.,carbon dioxide,climate change,closer to the sun,elliptical orbit,global climate change,global warming,greenhouse effect,long time,majority of experts,natural gas,natural gas drilling,science class,warm bodies","closer to the sun","http://data.gesis.org/claimskg/keyword/01b97136-3a92-50bf-9aac-ab9eab792743","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2017/mar/31/scott-wagner/pa-gopers-climate-change-theory-debunked-nope-not-/","English"
"http://data.gesis.org/claimskg/claim_review/7bbe8270-8dde-5622-b1fd-159e830dbf35","Donald Trump signed an executive order naming climate change as a threat both to the economy and national security.","Unknown",1,"FALSE","Unknown","Did President Donald Trump Sign an Executive Order on Climate Change?","CNN,Environmental Protection Agency,Health and Human Services,President Donald Trump,President Trump,Trump,U.S.,carbon emissions,clickbait,fake news site,impostor site,news organizations,published an article","Donald Trump,climate change,executive order","http://data.gesis.org/claimskg/keyword/0407cca3-56ad-5971-8871-58bae2dffb8f","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/trump-order-climate-change/","English"
"http://data.gesis.org/claimskg/claim_review/0cac8156-6a76-506e-b5e9-0a0ab45a4c50","96% of U.S. climate data is corrupted.",2022-07-27,1,"FALSE","Unknown","Fact-checking a talking point about ‘corrupted’ climate change data","1.1,100 feet,Berkeley Earth,Berkeley, California,California Institute of Technology,Canada,Cooperative Observer Program,Earth,Facebook,Global temperatures,Goddard Institute for Space Studies,Heartland Institute,Japan Meteorological Agency,Jet Propulsion Laboratory,July 27,Kilimanjaro,Laurentide,Laurentide Ice Sheet,March 11,Met Office,NASA,NOAA,National Oceanic and Atmospheric Administration,National Weather Service,News Feed,PolitiFact,Robert Rohde,San Francisco,The Heartland,The Heartland Institute,U.S.,United Kingdom,University of Illinois,air chemistry,atmospheric science,average global temperature,average temperatures,blog post,climate change,climate data,climate scientist,climate scientists,conservative think tank,degrees Celsius,degrees Fahrenheit,denialist,extreme weather,false news,global temperature,ground-based,ice sheet,mass of ice,misinformation,monitor weather,monitoring equipment,peer review,peer-reviewed,potential bias,precipitation,research scientist,scientific journal,scientific paper,sensor,t.co,thermometer,weather station,weather stations,wind speed","U.S.,climate data","http://data.gesis.org/claimskg/keyword/2d6fbbd1-47a2-5d71-8e3c-1a383242729c","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2022/aug/19/facebook-posts/fact-checking-talking-point-about-corrupted-climat/","English"
"http://data.gesis.org/claimskg/claim_review/7b98e25b-98e0-56ab-8eaf-e23517dcd665","In 2014, this French weather presenter announced the forecast for August 18, 2050 as part of a campaign to alert to the reality of climate change. Now her forecast that day is the actual forecast for the coming 4 or 5 days, in mid-June 2022.","Unknown",3,"TRUE","Unknown","‘In 2014, This French Weather Presenter Announced the Forecast for...","43C,August 18,Florida,France,JavaScript,June 15,June 16,June 18,June 2022,Nantes,Paris,Viral Content,Weather Presenter,World Meteorological Organization,climate change,heatwave,midi,reddit,reverse image search,social media,twitter.com,viral images,weather forecast,weather map,weather presenter,Évelyne Dhéliat","5 days,August 18,June 2022,climate change,weather presenter","http://data.gesis.org/claimskg/keyword/f7d4a4ab-0e9c-5092-b5f6-a55d7ea35007","truthorfiction","https://www.truthorfiction.com","https://www.truthorfiction.com/in-2014-this-french-weather-presenter-announced-the-forecast-for-august-18-2050/","English"
